describe,evaluate,introduce,movie_name,serial_num,star
真正的幸福是来自内心深处。,806397人评价,2010/美国/剧情喜剧爱情,怦然心动,25,9.0
Tomorrow is another day.,348451人评价,1939/美国/剧情历史爱情战争,乱世佳人,26,9.2
无尽的黑暗。,466816人评价,2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,27,9.1
张艺谋最好的电影。,381498人评价,1994/中国大陆香港/剧情历史家庭,活着,28,9.2
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,379953人评价,1988/意大利法国/剧情爱情,天堂电影院,29,9.1
瑰丽壮观、无人能及的冒险之旅。,753173人评价,2012/美国台湾英国加拿大/剧情奇幻冒险,少年派的奇幻漂流,30,9.0
对敌人的仁慈，就是对自己残忍。,313519人评价,2000/中国大陆/剧情历史战争,鬼子来了,31,9.2
1957年的理想主义。 ,224706人评价,1957/美国/剧情,十二怒汉,32,9.4
史诗的终章。,375404人评价,2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,33,9.1
比利·怀德满分作品。,157361人评价,1957/美国/剧情犯罪悬疑,控方证人,34,9.6
对天空的追逐，永不停止。 ,439278人评价,1986/日本/动画奇幻冒险,天空之城,35,9.1
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,490124人评价,1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,36,9.0
最后那些最无聊的事情，才是最值得怀念的。 ,668730人评价,2009/美国/剧情喜剧动画冒险,飞屋环游记,37,8.9
旷古烁今。,568041人评价,1995/香港中国大陆/喜剧爱情奇幻冒险,大话西游之月光宝盒,38,8.9
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,695286人评价,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,39,9.1
爱情哪怕只有一天。,503975人评价,1953/美国/喜剧剧情爱情,罗马假日,40,9.0
带着心爱的人在天空飞翔。,480533人评价,2004/日本/动画奇幻冒险,哈尔的移动城堡,41,9.0
别样人生。,299737人评价,2006/德国/剧情悬疑,窃听风暴,42,9.1
史上最美的探戈。,428248人评价,1992/美国/剧情,闻香识女人,43,9.0
电影的现实意义大过电影本身。,296332人评价,2013/韩国/剧情,辩护人,44,9.2
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,335960人评价,1998/英国/剧情喜剧犯罪,两杆大烟枪,45,9.1
自由万岁。,339141人评价,1975/美国/剧情,飞越疯人院,46,9.1
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,365966人评价,1989/美国/剧情,死亡诗社,47,9.0
一张面具背后的理想与革命。,556072人评价,2005/美国英国德国/剧情动作科幻惊悚,V字仇杀队,48,8.8
承前启后的史诗篇章。,352308人评价,2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,49,9.0
优雅的孤独。,250827人评价,1974/美国/剧情犯罪,教父2,50,9.1
海豚的微笑，是世界上最高明的伪装。,223535人评价,2009/美国/纪录片,海豚湾,51,9.3
传说的开始。,394564人评价,2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,52,8.9
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,259882人评价,2013/韩国/剧情,素媛,53,9.1
人生不能像做菜，把所有的料都准备好了才下锅。,271537人评价,1994/台湾美国/剧情家庭,饮食男女,54,9.1
爱是一切逻辑和原由。,389236人评价,2001/美国/传记剧情,美丽心灵,55,8.9
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,272155人评价,1987/英国意大利中国大陆法国美国/剧情传记历史,末代皇帝,56,9.1
暗恋的极致。,483855人评价,1995/日本/剧情爱情,情书,57,8.9
动物版《哈姆雷特》。,373346人评价,1994/美国/剧情动画冒险歌舞家庭,狮子王,58,8.9
音乐能化解仇恨。,256633人评价,2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,59,9.1
往事如烟，无处祭奠。,220975人评价,1984/意大利美国/犯罪剧情,美国往事,60,9.1
奔跑的孩子是天使。,187637人评价,1997/伊朗/剧情家庭儿童,小鞋子,61,9.2
在时间之河里感受溺水之苦。,504221人评价,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,62,8.8
警察抓小偷，老鼠玩死猫。,534628人评价,1995/美国/剧情犯罪悬疑惊悚,七宗罪,63,8.8
美丽无罪。,470870人评价,2000/意大利美国/剧情战争情色,西西里的美丽传说,64,8.8
孪生蝙蝠侠大战克隆金刚狼。,439603人评价,2006/美国英国/剧情悬疑惊悚,致命魔术,65,8.8
以戏谑来戏谑戏谑。,389033人评价,2006/日本/剧情歌舞,被嫌弃的松子的一生,66,8.9
视觉革命。,371435人评价,1999/美国澳大利亚/动作科幻,黑客帝国,67,8.9
你给我翻译翻译，神马叫做TMD的惊喜。,820860人评价,2010/中国大陆香港/剧情喜剧动作西部,让子弹飞,68,8.7
你以为你以为的就是你以为的。,511831人评价,2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,69,8.7
美利坚精神输出大片No1.,318946人评价,1998/美国/剧情历史战争,拯救大兵瑞恩,70,8.9
经典之作，历久弥新。,149424人评价,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,71,9.3
用音乐化解仇恨，让歌声串起美好。,295060人评价,1965/美国/剧情传记爱情歌舞,音乐之声,72,8.9
故事的高级讲法。,431922人评价,1994/美国/剧情喜剧犯罪,低俗小说,73,8.8
法式小清新。 ,593103人评价,2001/法国德国/喜剧爱情,天使爱美丽,74,8.7
童话世界的开端。,381924人评价,2001/美国英国/奇幻冒险,哈利·波特与魔法石,75,8.8
史诗大片的典范。,354486人评价,1995/美国/动作传记剧情历史战争,勇敢的心,76,8.8
浪漫忧郁的成人童话。,605143人评价,1990/美国/剧情奇幻爱情,剪刀手爱德华,77,8.7
安东尼·霍普金斯的顶级表演。,439480人评价,1991/美国/剧情犯罪惊悚,沉默的羔羊,78,8.8
死亡不是真的逝去，遗忘才是永恒的消亡。,651845人评价,2017/美国/喜剧动画奇幻音乐,寻梦环游记,79,9.0
人的命运被自己瞬间的抉择改变。,483264人评价,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,80,8.7
爱情纠缠，男女一致。,319991人评价,1997/香港日本韩国/剧情爱情同性,春光乍泄,81,8.9
人生中应该拥有这样的一段豁然开朗。,351249人评价,1997/美国/剧情,心灵捕手,82,8.8
骗子大师和执著警探的你追我跑故事。 ,325240人评价,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,83,8.8
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,372856人评价,2008/日本/剧情,入殓师,84,8.8
小清新的故事里注入了大历史的情怀。,427836人评价,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,85,8.8
昔日翩翩少年，今日大腹便便。,466384人评价,2010/美国/剧情悬疑惊悚,禁闭岛,86,8.7
人与自然的战争史诗。,295852人评价,1997/日本/动画奇幻冒险,幽灵公主,87,8.8
一场华丽的意淫。,341694人评价,1994/中国大陆香港/剧情,阳光灿烂的日子,88,8.8
你是我最好的朋友，你是我唯一的朋友 。,269441人评价,2009/澳大利亚/剧情动画,玛丽和马克思,89,8.9
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,208322人评价,2008/英国美国/剧情战争,穿条纹睡衣的男孩,90,9.0
深入内心的恐怖，出人意料的结局。,292765人评价,1999/美国/剧情悬疑惊悚,第六感,91,8.8
人言可畏。,174017人评价,2012/丹麦瑞典/剧情,狩猎,92,9.1
寂寞没有期限。,417501人评价,1994/香港/剧情爱情,重庆森林,93,8.7
最不可能的那个人永远是最可能的。,404498人评价,2003/美国/剧情悬疑惊悚,致命ID,94,8.7
每个人心中都有一座断背山。,400953人评价,2005/美国加拿大/剧情爱情同性家庭,断背山,95,8.7
约翰尼·德普的独角戏。,450053人评价,2003/美国/动作冒险奇幻,加勒比海盗,96,8.7
绝对意义上的美轮美奂。,674702人评价,2009/美国英国/动作战争科幻冒险,阿凡达,97,8.6
大时代中的人生，小人物的悲喜。,123563人评价,1936/美国/喜剧剧情爱情,摩登时代,98,9.2
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,311763人评价,2003/美国/剧情家庭奇幻冒险,大鱼,99,8.8
没有一人完全善，也没有一人完全恶。,422199人评价,2010/日本/剧情惊悚,告白,100,8.7
我们都曾经是一一。,190256人评价,2000/台湾日本/剧情爱情家庭,一一,101,9.0
百看不厌。 ,340890人评价,1993/香港/喜剧古装,射雕英雄传之东成西就,102,8.7
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,336252人评价,2011/韩国/剧情喜剧,阳光姐妹淘,103,8.8
相逢只要一瞬间，等待却像是一辈子。,278578人评价,1996/香港/剧情爱情,甜蜜蜜,104,8.8
年度最佳date movie。,458797人评价,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,105,8.7
缘分是个连绵词，最美不过一瞬。,282457人评价,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,106,8.8
我是一个演员。,421980人评价,1999/香港/喜剧剧情爱情,喜剧之王,107,8.6
那些静得只能听见呼吸的日子里，你明白孤独即生活。,187470人评价,2014/日本/剧情,小森林 夏秋篇,108,8.9
被上帝抛弃了的上帝之城。,184137人评价,2002/巴西法国/犯罪剧情,上帝之城,109,8.9
少女情怀总是诗。,220101人评价,1995/日本/剧情爱情动画,侧耳倾听,110,8.8
两张绝世的脸。 ,340832人评价,1987/香港/剧情爱情武侠古装,倩女幽魂,111,8.7
动画片的圣经。,218869人评价,1984/日本/动画奇幻冒险,风之谷,112,8.8
恐怖分子的“秋菊打官司”。,300501人评价,2013/韩国/剧情犯罪悬疑,恐怖直播,113,8.7
梦的勾结。,178053人评价,2006/日本/动画悬疑科幻惊悚,红辣椒,114,8.9
穷尽一生，我们要学会的，不过是彼此拥抱。,224393人评价,2011/美国/剧情,超脱,115,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,248054人评价,2004/美国/剧情爱情,爱在日落黄昏时,116,8.8
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,240803人评价,1999/日本/剧情喜剧,菊次郎的夏天,117,8.8
和谐的生活离不开摸头与被摸头。,364858人评价,2010/美国/动画奇幻冒险,驯龙高手,118,8.7
有时候幸福需要等一等。 ,275999人评价,2004/美国/喜剧剧情爱情,幸福终点站,119,8.7
沉醉在电影的情感和视听氛围中无法自拔。,261050人评价,2017/意大利法国巴西美国/剧情爱情同性,请以你的名字呼唤我,120,8.8
关于连环杀人悬案的集体回忆。,263298人评价,2003/韩国/犯罪剧情悬疑惊悚,杀人回忆,121,8.7
Mr. I Don't Care其实也有Care的时候。,493026人评价,2010/美国法国/喜剧动画冒险,神偷奶爸,122,8.5
曾经的那段美好会沉淀为一辈子的记忆。,270450人评价,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,123,8.7
10年的完美句点。,353922人评价,2011/美国英国/剧情悬疑奇幻冒险,哈利·波特与死亡圣器(下),124,8.7
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,163076人评价,2015/日本/剧情,小森林 冬春篇,125,9.0
时代悲歌。,97523人评价,1954/日本/动作冒险剧情,七武士,126,9.2
岁月流逝，来日可追。,360542人评价,2010/香港中国大陆/剧情家庭,岁月神偷,127,8.6
不要给它起名字，起了名字就有感情了。,313794人评价,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,128,8.6
《我是山姆》的《美丽人生》。,231663人评价,2013/韩国/剧情喜剧家庭,7号房的礼物,129,8.8
爱，是个动词。,389353人评价,2003/英国美国法国/喜剧剧情爱情,真爱至上,130,8.5
真相就在眼前。,247545人评价,2004/美国/悬疑惊悚恐怖,电锯惊魂,131,8.7
像吃了苏打饼一样干脆的电影。,225558人评价,2007/美国德国/动作悬疑惊悚,谍影重重3,132,8.7
幸福是生生不息，却难以触及的远。 ,246093人评价,1988/日本/动画剧情战争,萤火虫之墓,133,8.7
触不到的恋人。,214705人评价,2011/日本/剧情爱情动画奇幻,萤火之森,134,8.8
老少皆宜，这就是好莱坞动画的魅力。,457547人评价,2013/美国/喜剧动画冒险,疯狂原始人,135,8.7
电影诗。,317960人评价,1994/香港台湾/剧情动作爱情武侠古装,东邪西毒,136,8.6
Balalala~~~,480349人评价,2014/美国/喜剧动作科幻动画冒险,超能陆战队,137,8.6
中国家庭的喜怒哀乐忍。,173650人评价,1993/台湾美国/剧情喜剧爱情同性家庭,喜宴,138,8.8
华太师是黄霑，吴镇宇四大才子之一。,451605人评价,1993/香港/喜剧爱情古装,唐伯虎点秋香,139,8.5
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,459238人评价,2008/英国美国/剧情爱情,贫民窟的百万富翁,140,8.5
诺兰就是保证。,363592人评价,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,141,8.6
一个针管引发的血案。,337938人评价,2000/美国/犯罪剧情悬疑惊悚,记忆碎片,142,8.6
黑暗之美。,498640人评价,2010/美国/剧情惊悚,黑天鹅,143,8.5
英雄泪短，兄弟情长。 ,231170人评价,1986/香港/动作犯罪,英雄本色,144,8.6
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,238705人评价,2014/中国大陆/剧情犯罪悬疑,心迷宫,145,8.7
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,244062人评价,1988/美国/剧情,雨人,146,8.7
我的平常生活就是他人的幸福。,102336人评价,2004/日本/剧情,无人知晓,147,9.1
爱是摈弃傲慢与偏见之后的曙光。,376875人评价,2005/法国英国美国/剧情爱情,傲慢与偏见,148,8.5
始于荒诞，止于更荒诞。,190912人评价,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,149,8.8
当这个世界闭上双眼，他却敞开了怀抱。,146550人评价,2004/英国南非意大利美国/剧情历史战争,卢旺达饭店,150,8.9
香港浪漫主义警匪动作片的巅峰之作。,193357人评价,1991/香港/剧情喜剧动作犯罪,纵横四海,151,8.7
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,409396人评价,2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,152,8.7
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,260308人评价,2013/英国/剧情爱情奇幻,时空恋旅人,153,8.7
任何信念的力量，都无法改变命运。,165648人评价,1990/美国/剧情犯罪,教父3,154,8.8
跨度十五年的欢乐与泪水。,235976人评价,2010/美国/喜剧动画奇幻冒险,玩具总动员3,155,8.8
我们都有权利不与自己的过去和解。,260463人评价,2016/美国/剧情家庭,海边的曼彻斯特,156,8.6
大海啊，不全是水。,109642人评价,2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,157,9.0
偷情本没有这样美。,301241人评价,2000/香港/剧情爱情,花样年华,158,8.6
坏人的好总是比好人的好来得更感人。,103976人评价,1993/美国/剧情犯罪,完美的世界,159,9.0
Jared Leto的腿比女人还美！,233814人评价,2013/美国/剧情传记同性,达拉斯买家俱乐部,160,8.7
永远看不腻的喜剧。,126863人评价,1966/法国英国/喜剧战争,虎口脱险,161,8.9
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,345003人评价,2004/美国/剧情爱情,恋恋笔记本,162,8.5
感情不分食草或者食肉。,181473人评价,2010/日本/剧情动画儿童,你看起来好像很好吃,163,8.8
传奇，不是每个人都可以拥有。,170320人评价,1994/美国/剧情爱情西部家庭,燃情岁月,164,8.7
有一些东西不应该被遗忘。,142110人评价,2015/中国大陆/纪录片,二十二,165,8.7
骨灰级歌舞片。,111033人评价,1952/美国/喜剧歌舞爱情,雨中曲,166,9.0
松鼠才是角儿。,335085人评价,2002/美国/喜剧动画冒险,冰川时代,167,8.5
爱并不需要智商 。,131623人评价,2001/美国/剧情家庭,我是山姆,168,8.8
爱上未来的你。 ,222137人评价,2006/日本/剧情爱情科幻动画,穿越时空的少女,169,8.6
愿我们都不用长大，每一座城堡都能永远存在。,294362人评价,2015/美国/喜剧动画冒险,头脑特工队,170,8.7
热血沸腾，那个低俗、性感的无耻混蛋又来了。,314081人评价,2012/美国/剧情动作西部冒险,被解救的姜戈,171,8.6
中国式内在的美国电影。,151113人评价,1940/美国/剧情战争爱情,魂断蓝桥,172,8.8
不可猜的青春迷笛。 ,285737人评价,1996/英国/犯罪剧情,猜火车,173,8.5
对爱的执着，可以超越一切。,231208人评价,2001/美国/冒险剧情科幻,人工智能,174,8.6
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,289439人评价,2014/美国/剧情音乐,爆裂鼓手,175,8.6
迪士尼和皮克斯拿错剧本的产物。,258816人评价,2012/美国/喜剧动画奇幻冒险,无敌破坏王,176,8.7
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,631127人评价,2016/日本/剧情爱情动画,你的名字。,177,8.4
好的剧本是，就算你猜到了结局也猜不到全部。,125749人评价,1997/日本/动画奇幻惊悚,未麻的部屋,178,8.9
人生的N种可能性。,156209人评价,1950/日本/犯罪剧情悬疑,罗生门,179,8.7
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,314815人评价,2014/英国美国/剧情传记战争同性,模仿游戏,180,8.6
王家卫是一种风格，张国荣是一个代表。,260129人评价,1990/香港/犯罪剧情爱情,阿飞正传,181,8.5
一个单凭体香达到高潮的男人。,329159人评价,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,182,8.4
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,198406人评价,2015/爱尔兰加拿大英国美国/剧情家庭,房间,183,8.8
惠及一生的美丽。,163729人评价,2015/瑞典/剧情,一个叫欧维的男人决定去死,184,8.8
世界离独裁只有五天。,157925人评价,2008/德国/剧情惊悚,浪潮,185,8.7
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,313440人评价,2008/美国德国/剧情爱情,朗读者,186,8.5
不要企图在重复中寻找已经失去的爱。,401690人评价,2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,187,8.4
养狗三日，便会对你终其一生。,80767人评价,1987/日本/剧情,忠犬八公物语,188,9.1
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,243042人评价,1989/日本/动画奇幻冒险,魔女宅急便,189,8.5
来啊，互相伤害啊！,280549人评价,2016/意大利/剧情喜剧,完美陌生人,190,8.5
坚硬的信仰。,155151人评价,2004/中国大陆香港/剧情犯罪,可可西里,191,8.7
想你时你在闹海。,104497人评价,1979/中国大陆/冒险动画奇幻,哪吒闹海,192,8.9
做一颗让别人需要你的棋子。,203755人评价,2005/美国法国/剧情犯罪,战争之王,193,8.6
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,233131人评价,2002/美国德国捷克/动作悬疑惊悚,谍影重重,194,8.5
谁说王家卫镜头很晃？,194624人评价,2004/美国德国/动作悬疑惊悚,谍影重重2,195,8.6
只有有信仰的人才能说出事实真相。,155075人评价,2011/伊朗法国/剧情家庭,一次别离,196,8.7
天使保护事件始末。,105113人评价,2007/印度/剧情儿童家庭,地球上的星星,197,8.9
弱者送给弱者的一刀。,131611人评价,1991/台湾/剧情犯罪,牯岭街少年杀人事件,198,8.8
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,194475人评价,2003/美国澳大利亚/动作科幻,黑客帝国3：矩阵革命,199,8.6
诺兰的牛逼来源于内心散发出的恐惧。,97759人评价,1998/英国/犯罪悬疑惊悚,追随,200,8.9
是枝裕和的家庭习作。,178591人评价,2015/日本/剧情家庭,海街日记,201,8.7
天使与魔鬼的冲撞。,202253人评价,2004/美国德国/犯罪剧情,撞车,202,8.6
故事的反转与反转，分裂电影的始祖。,104981人评价,1960/美国/悬疑惊悚恐怖,惊魂记,203,8.9
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,271473人评价,1993/香港/剧情奇幻古装,青蛇,204,8.5
爱我就给我看你的播放列表。,215505人评价,2013/美国/喜剧爱情音乐,再次出发之纽约遇见你,205,8.5
宝莱坞的萝莉与大叔。,224123人评价,2015/印度/剧情喜剧动作,小萝莉的猴神大叔,206,8.5
一场没有春天的噩梦。,132042人评价,2000/美国/剧情,梦之安魂曲,207,8.7
,400335人评价,2017/美国英国/剧情犯罪,三块广告牌,208,8.7
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,115055人评价,2008/日本/剧情家庭,步履不停,209,8.8
嬉笑怒骂，调风动月。,227349人评价,1992/香港中国大陆/剧情动作武侠古装,新龙门客栈,210,8.5
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,474621人评价,2011/美国加拿大/科幻悬疑惊悚,源代码,211,8.4
少见的超越首部的续集，动作片中的经典。,172568人评价,1991/美国法国/动作科幻,终结者2：审判日,212,8.6
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,63733人评价,1953/日本/剧情家庭,东京物语,213,9.2
黑小鸭速效美白记。,558209人评价,2010/泰国/剧情喜剧爱情,初恋这件小事,214,8.3
中国版《两杆大烟枪》。,391610人评价,2006/中国大陆香港/喜剧犯罪,疯狂的石头,215,8.3
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,144603人评价,2013/美国/剧情爱情,爱在午夜降临前,216,8.8
永远的小人物，伟大的卓别林。,56598人评价,1931/美国/喜剧剧情爱情,城市之光,217,9.3
昆汀同学越来越变态了，比北野武还杜琪峰。,263483人评价,2009/美国德国/剧情犯罪,无耻混蛋,218,8.5
天使暂时离开。,128749人评价,1999/美国/犯罪剧情奇幻悬疑,绿里奇迹,219,8.7
没有了退路，只好飞向自由。,124320人评价,1991/美国法国/犯罪剧情惊悚,末路狂花,220,8.7
科幻真正的魅力不是视觉效果能取代的。 ,219655人评价,2007/美国/剧情科幻,这个男人来自地球,221,8.5
生病的E.T.皮肤的颜色就像柿子饼。,187610人评价,1982/美国/剧情科幻,E.T. 外星人,222,8.5
小成本大魅力。,234846人评价,2013/美国英国/科幻悬疑惊悚,彗星来的那一夜,223,8.4
类型片的极致。 ,165867人评价,1996/美国/动作冒险,勇闯夺命岛,224,8.6
青春就是放弃和怀念。,365991人评价,2007/日本/动画剧情爱情,秒速5厘米,225,8.3
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,249210人评价,1997/美国/动作科幻犯罪惊悚,变脸,226,8.4
每个美丽事物背后都是滴血的现实。,166510人评价,2006/美国德国/剧情惊悚冒险,血钻,227,8.6
最棒的西部片。,63406人评价,1966/意大利西班牙西德/冒险西部,黄金三镖客,228,9.1
我完全康复了。,215320人评价,1971/英国美国/犯罪剧情科幻,发条橙,229,8.5
新闻人的理性求真。,154799人评价,2015/美国/剧情传记,聚焦,230,8.8
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,145787人评价,1942/美国/剧情爱情战争,卡萨布兰卡,231,8.6
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,117489人评价,1988/法国美国意大利/剧情爱情,碧海蓝天,232,8.7
传奇的年代，醉人的童话。,64744人评价,1983(中国大陆)/2019(中国大陆重映)/中国大陆/动画,天书奇谭,233,9.1
我不信仰上帝，但我敬畏上帝。,143948人评价,1995/德国美国/剧情犯罪悬疑惊悚,非常嫌疑犯,234,8.6
每个人的内心都是深不可测的大海。 ,216729人评价,1999/美国/剧情爱情家庭,美国丽人,235,8.5
皇上无话儿。,397661人评价,2010/英国澳大利亚美国/剧情传记历史,国王的演讲,236,8.3
还原真实而残酷的战争。,146051人评价,2001/美国/动作历史战争,黑鹰坠落,237,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,73296人评价,2011/韩国/剧情爱情,我爱你,238,9.0
,71386人评价,2015/德国瑞士南非/剧情冒险家庭,海蒂和爷爷,239,9.0
一部能引人思考的科幻励志片。,111560人评价,1997/美国/剧情科幻惊悚,千钧一发,240,8.7
现代科幻电影的开山之作，最伟大导演的最伟大影片。,120684人评价,1968/英国美国/科幻惊悚冒险,2001太空漫游,241,8.7
生命不止，摇滚不死。,184513人评价,2009/英国德国法国/剧情喜剧音乐,海盗电台,242,8.6
出门必备：本草纲目。,149002人评价,2007/美国/冒险传记剧情,荒野生存,243,8.6
用剩余不多的时间，去燃烧整个生命。,161380人评价,2007/美国/冒险喜剧剧情,遗愿清单,244,8.5
"In memory, love lives forever...",197018人评价,1996/美国英国/爱情剧情战争,英国病人,245,8.5
一个人的独角戏。,163691人评价,2000/美国/冒险剧情,荒岛余生,246,8.5
热血沸腾，相当完美的娱乐拳击大餐。,100117人评价,2011/美国/剧情运动家庭,勇士,247,8.9
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,119054人评价,1999/香港/剧情动作犯罪,枪火,248,8.7
最美的飞翔。,57898人评价,2001/法国德国意大利西班牙瑞士/纪录片,迁徙的鸟,249,9.1
上承《银翼杀手》，下启《黑客帝国》。,72325人评价,1995/日本/动作科幻动画,攻壳机动队,250,8.9
